股票代碼,公司名稱,公司簡稱,產業類別,住址,董事長,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,簽證會計師事務所,英文簡稱,電子郵件信箱,公司網址
3508,位速科技股份有限公司,位速,其他電子業,桃園市楊梅區高山里5鄰高青路26號,廖世文,90/09/04,96/10/17,新台幣                 10.0000元,"1,043,117,370","104,311,737",合併,每年,股東會,元大證券股份有限公司,安侯建業聯合會計師事務所,Ways,waysholder@ways.com.tw,www.waystech.net
3511,矽瑪科技股份有限公司,矽瑪,電子零組件業,桃園市桃園區中正路1351號14樓,黃漢州,92/12/15,98/02/16,新台幣                 10.0000元,"799,729,450","79,972,945",合併,每年,董事會,福邦證券股份有限公司股務代理部,安永聯合會計師事務所,SIMULA TECH INC,KevinHuang@simulatechnology.com,www.simulatechnology.com
3512,皇龍開發股份有限公司,皇龍,建材營造,台北市信義區松德路171號16樓之2,陳文宏,81/06/08,96/07/25,新台幣                 10.0000元,"856,255,010","85,625,501",合併,每年,董事會,台新證券股務代理部,安侯建業聯合會計師事務所,Huang Long,vincent@hldc.com.tw,www.hldc.com.tw
3516,亞帝歐光電股份有限公司,亞帝歐,光電業,桃園市八德區白鷺里廣福路858號,廖書尉,80/11/29,96/11/29,新台幣                 10.0000元,"526,138,250","52,613,825",合併,每年,股東會,中國信託商業銀行代理部,安永聯合會計師事務所,ADO,ado@adotek.com.tw,www.adotek.com.tw
3520,華盈電子股份有限公司,華盈,電子零組件業,新北市三重區重新路五段609巷18號6樓,魏良全,75/02/21,96/10/12,新台幣                 10.0000元,"688,467,780","68,846,778",合併,每年,董事會,國票綜合證券(股)公司股務代理部,安侯建業聯合會計師事務所,JVE,ir@jve-tech.com,www.jve-tech.com
3521,鴻翊國際股份有限公司,鴻翊,電腦及週邊設備業,新北市中和區建一路186號10樓,周季平,75/03/07,96/08/07,新台幣                 10.0000元,"782,655,520","78,265,552",合併,每年,股東會,永豐金證券股份有限公司,立本台灣聯合會計師事務所,DataVan,spokesman@datavan.com.tw,http://www.datavan.com.tw/
3522,御頂國際股份有限公司,御頂,觀光餐旅,新北市新莊區中華路三段216號13樓,孫正強,90/09/26,96/10/15,新台幣                 10.0000元,"825,250,000","82,525,000",合併,每年,股東會,兆豐證券股份有限公司,國富浩華聯合會計師事務所,TOPLUS,top-investors@toplusglobal.com,www.toplusglobal.com
3523,迎輝科技股份有限公司,迎輝,光電業,台南市安南區本田路二段391號,唐以鄰,87/01/15,96/11/16,新台幣                 10.0000元,"642,578,680","64,257,868",合併,每年,股東會,台新證券股務代理部,安永聯合會計師事務所,EFUN,tw2andy@efun.com.tw,Http://www.efun.com.tw
3526,凡甲科技股份有限公司,凡甲,電子零組件業,台灣省新北市中和區中山路三段102號3樓,游萬益,87/11/06,96/11/02,新台幣                 10.0000元,"591,381,050","59,138,105",合併,每年,股東會,元大證券(股)公司股務代理部,勤業眾信會計師事務所,ALLTOP,gladys@otop.com.tw,http://www.otop.com.tw/
3527,聚積科技股份有限公司,聚積,半導體業,新竹市埔頂路18號3樓之5之6,楊立昌,88/06/25,96/10/29,新台幣                 10.0000元,"444,451,250","44,445,125",合併,每年,董事會,元大證券股份有限公司,勤業眾信聯合會計師事務所,MBI,mbi.ir@mblock.com.tw,https://www.mblock.com.tw/zh-tw
3529,力旺電子股份有限公司,力旺,半導體業,新竹縣竹北市台元一街5號8樓(通訊地址),徐清祥,89/09/02,100/01/24,新台幣                 10.0000元,"746,562,420","74,656,242",合併,每年,股東會,凱基證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,eMemory,ir@ememory.com.tw,https://www.ememory.com.tw
3531,先益電子工業股份有限公司,先益,光電業,台中市南屯區工業24路22號,王維泗,68/10/11,97/04/08,新台幣                 10.0000元,"611,750,110","61,175,011",合併,每年,董事會,永豐金證券股份有限公司,安侯建業聯合會計師事務所,Shian Yih,yaching@shianyih.com.tw,www.shianyih.com
3537,堡達實業股份有限公司,堡達,電子零組件業,台北市中山區中山北路2段129號10樓,陳家裕,76/08/14,99/01/25,新台幣                 10.0000元,"535,647,420","53,564,742",合併,每年,董事會,華南永昌綜合證券股務代理部,安侯建業會計師事務所,PODAK,pai@podak.com.tw,www.podak.com.tw
3540,曜越科技股份有限公司,曜越,電腦及週邊設備業,台北市內湖區堤頂大道二段185號5樓,林培熙,88/11/30,96/12/12,新台幣                 10.0000元,"730,665,480","73,066,548",合併,每年,董事會,永豐金證券股份有限公司,眾智聯合會計師事務所,Thermaltake,service_3540@thermaltake.com.tw,www.thermaltake.com
3541,西柏科技股份有限公司,西柏,其他電子業,新北市中和區建康路130號6樓之5,蔡正義,80/01/23,98/12/22,新台幣                 10.0000元,"567,871,420","56,787,142",合併,每年,董事會,富邦綜合證券股份有限公司,富鋒聯合會計師事務所,CYP,andy@cypress.com.tw,http://www.cypress.com.tw
3546,宇峻奧汀科技股份有限公司,宇峻,文化創意業,新北市中和區建八路2號17樓之8,劉信,84/05/19,97/04/18,新台幣                 10.0000元,"505,864,260","50,586,426",合併,每年,股東會,群益金鼎證券股份有限公司,勤業眾信會計師事務所,USERJOY,paulyeh@uj.com.tw,https://www.uj.com.tw/
3548,兆利科技工業股份有限公司,兆利,電子零組件業,新北市新莊區五工五路十三號,張台沅,93/07/07,97/03/27,新台幣                 10.0000元,"660,913,640","66,091,364",合併,每年,董事會,永豐金證券(股)公司股務代理部,安侯建業聯合會計師事務所,JARLLY,investor@jarlly.com,http://www.jarlly.com
3551,世禾科技股份有限公司,世禾,綠能環保,新竹縣湖口鄉仁政路18號,陳學聖,86/06/23,97/04/15,新台幣                 10.0000元,"567,748,900","56,774,890",合併,每年,股東會,台新證券股務代理部,安侯建業聯合會計師事務所,SHT,martin@sht.com.tw,www.sht.com.tw
3552,同致電子企業股份有限公司,同致,其他電子業,桃園市蘆竹區南青路1156巷9號,陳信忠,68/12/07,98/01/07,新台幣                 10.0000元,"855,929,490","85,592,949",合併,每年,董事會,中國信託商業銀行股份有限公司,資誠聯合會計師事務所,TUNG THIH,Investors@tungthih.com.tw,www.tungthih.com.tw
3555,博士旺創新股份有限公司,博士旺,半導體業,台北市內湖區潭美街539號9樓,周康記,92/09/25,100/11/08,新台幣                 10.0000元,"257,627,970","25,762,797",合併,每半會計年度,董事會,康和綜合證券股份有限公司,資誠聯合會計師事務所,IROC,ir@iroc.com.tw,www.iroc.com.tw
3556,禾瑞亞科技股份有限公司,禾瑞亞,半導體業,台北市內湖區瑞光路302號11樓,唐錦榮,91/09/12,97/04/15,新台幣                 10.0000元,"637,028,440","63,702,844",合併,每年,董事會,中國信託商業銀行代理部,安侯建業,EETI,public@eeti.com,https://www.eeti.com
3558,神準科技股份有限公司,神準,通信網路業,桃園市龜山區復興三路500號,蔡文河,95/10/12,102/12/30,新台幣                 10.0000元,"490,608,810","49,060,881",合併,每年,股東會,富邦綜合證券股份有限公司,資誠聯合會計師事務所,Senao Networks,invest@senao.com,https://www.senaonetworks.com/
3564,其陽科技股份有限公司,其陽,通信網路業,(221416)新北市汐止區新台五路一段 97 號 32 樓,曾文興,89/10/24,102/12/03,新台幣                 10.0000元,"591,231,000","59,123,100",合併,每年,董事會,凱基證券股份有限公司,安侯建業聯合會計師事務所,AEWIN,investor@aewin.com,www.aewin.com
3567,逸昌科技股份有限公司,逸昌,半導體業,新竹縣竹北市新泰路35號4樓之1,郭嘯華,89/09/07,99/11/22,新台幣                 10.0000元,"339,540,000","33,954,000",個別,每年,股東會,富邦綜合證券股務代理部,勤業眾信聯合會計師事務所,ETREND,rock@etrendtech.tw,www.etrendtech.tw
3570,大塚資訊科技股份有限公司,大塚,資訊服務業,新北市板橋區縣民大道二段68號6樓,鶴見裕信,86/08/04,97/10/23,新台幣                 10.0000元,"170,970,000","17,097,000",合併,每年,董事會,永豐金證券股份有限公司,安侯建業聯合會計師事務所,OITC,investor@oitc.com.tw,www.oitc.com.tw
3577,泓格科技股份有限公司,泓格,電腦及週邊設備業,新竹縣湖口鄉光復北路111號(新竹工業區),葉廼廸,82/08/06,98/01/06,新台幣                 10.0000元,"639,656,530","63,965,653",合併,每年,股東會,台新綜合證券(股)公司股務代理部,資誠聯合會計師事務所,ICP DAS,ir@icpdas.com,https://www.icpdas.com/index_tw.php
3580,友威科技股份有限公司,友威科,其他電子業,桃園市蘆竹區長興里厚生路51號6樓,李原吉,91/11/04,99/07/09,新台幣                 10.0000元,"394,706,570","39,470,657",合併,每年,股東會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,UVAT,theresachen@uvat.com,www.uvat.com
3581,博磊科技股份有限公司,博磊,半導體業,(304)新竹縣新豐鄉精工路53號,李篤誠,88/04/09,104/01/20,新台幣                 10.0000元,"510,060,000","51,006,000",合併,每年,股東會,富邦綜合證券股份有限公司,日正聯合會計師事務所,ZVC,sophie@zenvoce.com,www.zenvoce.com
3587,閎康科技股份有限公司,閎康,其他電子業,新竹縣竹北市台元街26-2號1F,謝詠芬,91/05/14,98/08/18,新台幣                 10.0000元,"666,745,870","66,674,587",合併,每年,董事會,富邦綜合證券股份有限公司,勤業眾信聯合會計師事務所,MA-tek,stock@ma-tek.com,http://www.ma-tek.com
3594,磐儀科技股份有限公司,磐儀,電腦及週邊設備業,新北市中和區中正路700號10樓,李明,82/10/19,102/05/07,新台幣                 10.0000元,"954,393,580","95,439,358",合併,每年,董事會,福邦證券股份有限公司股務代理部,資誠聯合會計師事務所,ARBOR,investor@arbor.com.tw,www.arbor-technology.com
3597,映興電子股份有限公司,映興,電子零組件業,台中市南屯區工業區19路10號,賴柄源,75/11/29,109/03/09,新台幣                 10.0000元,"392,364,400","39,236,440",合併,每年,股東會,華南永昌綜合證券股份有限公司,資誠聯合會計師事務所,AVI,lin501214@avertronics.com,http://www.avertronics.com
3609,三一東林科技股份有限公司,三一東林,電子零組件業,台中市南屯區精科七路20號,陳睿謙,91/04/22,100/01/11,新台幣                 10.0000元,"352,793,870","35,279,387",合併,每年,股東會,元大證券股份有限公司,安侯建業聯合會計師事務所,HEP,Fin@hep-tech.com.tw,www.hepgroup.net
3611,鼎翰科技股份有限公司,鼎翰,電腦及週邊設備業,新北市新店區民權路95號9樓,王興磊,96/03/19,97/11/26,新台幣                 10.0000元,"471,406,340","47,140,634",合併,每年,股東會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,TSC AUTO ID,ir@tscprinters.com,http://www.tscprinters.com
3615,安可光電股份有限公司,安可,光電業,新竹縣湖口鄉光復北路10號,葉垂景,96/09/28,98/04/15,新台幣                 10.0000元,"684,669,760","68,466,976",合併,每年,股東會,台新綜合證券股份有限公司,安永聯合會計師事務所,AimCore,service@aimcore.com.tw,www.aimcore.com.tw
3623,富晶通科技股份有限公司,富晶通,光電業,桃園巿龜山區華亞三路50號6樓之1,翁明顯,89/11/27,99/04/28,新台幣                 10.0000元,"291,859,460","29,185,946",個別,每年,股東會,凱基證券股份有限公司,資誠聯合會計師事務所,TTI,service@transtouch.com.tw,http://www.transtouch.com.tw/
3624,光頡科技股份有限公司,光頡,電子零組件業,新竹縣湖口鄉光復北路70號,蔡高明,86/10/01,100/03/16,新台幣                 10.0000元,"1,173,408,420","117,340,842",合併,每年,股東會,宏遠證券股份有限公司,資誠聯合會計師事務所,VIKING,anitalo@viking.com.tw,http://www.viking.com.tw
3625,西勝國際股份有限公司,西勝,電腦及週邊設備業,新北市新莊區中正路665號5樓,黃宗偉,85/05/23,98/10/28,新台幣                 10.0000元,"1,141,313,820","114,131,382",合併,每年,董事會,兆豐證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,C-TECH,ir@c-techone.com,www.c-techone.com
3628,盈正豫順電子股份有限公司,盈正,其他電子業,新北市新店區寶高路7巷3號1樓,許文,87/04/27,99/09/09,新台幣                 10.0000元,"450,000,000","45,000,000",合併,每年,董事會,富邦綜合證券股務代理部,資誠聯合會計師事務所,ABLEREX,ablerex@ablerex.com.tw,www.ablerex.com.tw
3629,地心引力股份有限公司,地心引力,文化創意業,臺北市中山區中山北路二段44號4樓,陳寬聰,90/09/11,99/05/27,新台幣                 10.0000元,"329,547,820","32,954,782",合併,每季,董事會,永豐金證券股份有限公司,安侯建業聯合會計師事務所,Gravitytai,chrisfeng@gravitytw.com,www.gravitytw.com
3630,新鉅科技股份有限公司,新鉅科,光電業,台中市后里區后科路一段269號,鄭勝全,88/08/30,99/04/26,新台幣                 10.0000元,"1,841,918,480","184,191,848",合併,每年,股東會,中國信託商業銀行代理部,安侯建業聯合會計師事務所,NEWMAX,public@newmax.com.tw,http://www.newmax.com.tw
3631,晟楠科技股份有限公司,晟楠,電子零組件業,桃園市龜山區鄉萬壽路一段161號18樓之1,林朝榮,73/04/10,99/12/20,新台幣                 10.0000元,"818,209,090","81,820,909",合併,每年,股東會,永豐金證券(股)公司股務代理部,國富浩華聯合會計師事務所,CHERNAN,taiwan@chernan.com,http://www.chernan.com
3632,研勤科技股份有限公司,研勤,通信網路業,臺北市內湖區港墘路200號4樓,簡良益,90/09/10,100/01/11,新台幣                 10.0000元,"408,897,380","40,889,738",合併,每年,股東會,台新證券股務代理部,廣信益群聯合會計師事務所,PAPAGO,service@papagoinc.com,http://www.papagoinc.com
3646,艾恩特精密工業股份有限公司,艾恩特,電子零組件業,台北市內湖區堤頂大道二段301號5樓,陳明仁,88/03/11,101/03/27,新台幣                 10.0000元,"392,973,710","39,297,371",合併,每年,股東會,永豐金證券股份有限公司,勤業眾信聯合會計師事務所,ANT,MiffyLin@ant-precision.com.tw,http://www.ant-precision.com.tw
3663,鑫科材料科技股份有限公司,鑫科,其他電子業,高雄市路竹區路科八路1號 ( 通訊地址 ),李昭祥,89/03/29,101/11/20,新台幣                 10.0000元,"735,012,930","73,501,293",合併,每年,股東會,凱基證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,TTMC,ttmc@e-ttmc.com.tw,www.e-ttmc.com.tw
3664,安瑞科技股份有限公司,安瑞-KY,通信網路業,"North Sound Rd., George Town, Grand Cayman, KY1-9006",連建欽,97/12/19,99/06/24,新台幣                 10.0000元,"586,499,400","58,649,940",合併,每年,股東會,中國信託商業銀行代理部,正風,Array,mzhao@arraynetworks.net,www.arraynetworks.net
3666,光耀科技股份有限公司,光耀,光電業,(30078)新竹科學園區新竹市力行六路一號三樓,郭維斌,93/07/13,103/12/04,新台幣                 10.0000元,"587,381,000","58,738,100",合併,每年,董事會,宏遠證券股份有限公司,勤業眾信聯合會計師事務所,OTI,sales@optivtech.com,www.optivtech.com
3672,康聯訊科技股份有限公司,康聯訊,通信網路業,新北市汐止區新台五路一段79號18F-6,陳友信,87/10/06,104/04/20,新台幣                 10.0000元,"317,903,750","31,790,375",合併,每年,股東會,群益金鼎證券股份有限公司,勤業眾信聯合會計師事務所,CTS,finance@ctsystem.com,https://www.ctsystem.com/en/
3675,德微科技股份有限公司,德微,半導體業,新北市深坑區北深路三段155巷17號6樓,張恩傑,84/08/16,101/06/29,新台幣                 10.0000元,"502,039,230","50,203,923",合併,每年,股東會,凱基證券股份有限公司,勤業眾信聯合會計師事務所,Eris Tech,Eris.public@eris.com.tw,www.eris.com.tw
3680,家登精密工業股份有限公司,家登,半導體業,新北市土城區中央路4段2號9樓之5,邱銘乾,87/03/20,100/08/31,新台幣                 10.0000元,"942,972,320","94,297,232",合併,每半會計年度,董事會,凱基證券股份有限公司,勤業眾信會計師事務所,Gudeng,stock@gudeng.com,http://www.gudeng.com
3684,榮昌科技股份有限公司,榮昌,通信網路業,23145新北市新店區寶橋路233-2號8F,陳家榮,84/06/12,103/03/28,新台幣                 10.0000元,"300,016,740","30,001,674",合併,每年,股東會,台新綜合證券(股)公司股務代理部,資誠聯合會計師事務所,Grand-Tek,wireless@grand-tek.com,http://www.grand-tek.com
3685,元創精密車業股份有限公司,元創精密,電機機械,台中市西屯區朝富路213號4樓之7,江凱量,72/09/27,99/12/08,新台幣                 10.0000元,"795,740,000","79,574,000",合併,每年,股東會,宏遠證券股份有限公司,安永聯合會計師事務所,TAC,fa@tradetools.com.tw,Http://www.tradetools.com.tw
3687,茂為歐買尬數位科技股份有限公司,歐買尬,數位雲端,台北市南港區三重路19-2號D棟7樓之1,林雪慧,88/10/18,100/01/11,新台幣                 10.0000元,"300,595,720","30,059,572",合併,每年,董事會,台新證券股務代理部,勤業眾信聯合會計師事務所,OMG,financial_material@mail.omg.com.tw,http://www.macrowell.com.tw/
3689,湧德電子股份有限公司,湧德,電子零組件業,桃園市蘆竹區內溪路68巷13號2樓,陳伯榕,94/03/18,101/10/18,新台幣                 10.0000元,"787,250,440","78,725,044",合併,每年,董事會,台新證券股務代理部,勤業眾信聯合會計師事務所,UDE,service@ude-corp.com,https://www.ude-corp.com
3691,碩禾電子材料股份有限公司,碩禾,光電業,新竹縣湖口鄉工業一路3號1樓,陳繼明,92/07/11,99/11/18,新台幣                 10.0000元,"918,834,200","91,883,420",合併,每年,股東會,兆豐證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,GIGASOLAR,IR@gigasolar.com.tw,www.gigasolar.com.tw
3693,營邦企業股份有限公司,營邦,電腦及週邊設備業,(338)桃園市蘆竹區大興路20巷19弄9號,梁順營,85/05/03,102/11/27,新台幣                 10.0000元,"384,906,940","38,490,694",合併,每年,股東會,元大證券股份有限公司,勤業眾信會計師事務所,AIC,ir@aicipc.com.tw,www.aicipc.com
3707,漢磊科技股份有限公司,漢磊,半導體業,新竹科學園區新竹縣寶山鄉創新一路18號1樓,徐建華,103/10/01,103/10/01,新台幣                 10.0000元,"3,332,157,470","333,215,747",合併,每年,董事會,凱基證券股份有限公司,資誠聯合會計師事務所,EPISIL,episil_mail@episil.com,https://www.episil.com
3709,鑫聯大投資控股股份有限公司,鑫聯大投控,電腦及週邊設備業,台北市南港區經貿二路189號22樓,黃偉祥,106/09/01,106/09/01,新台幣                 10.0000元,"1,005,694,500","100,569,450",合併,每年,股東會,群益金鼎證券股份有限公司,資誠聯合會計師事務所,Trigold,Tri-IR@trigoldholdings.com,www.TrigoldHoldings.com
3710,連展投資控股股份有限公司,連展投控,電子零組件業,新北市新店區寶興路45巷9弄2號3樓,林肇聰,106/12/29,106/12/29,新台幣                 10.0000元,"2,872,507,340","287,250,734",合併,每年,股東會,統一綜合證券股份有限公司,資誠聯合會計師事務所,ACON Holding,info@acon-holding.com,www.acon-holding.com
3713,新晶投資控股股份有限公司,新晶投控,綠能環保,新竹縣竹北市復興二路193號3樓之一,資三德,109/02/27,109/02/27,新台幣                 10.0000元,"780,900,000","78,090,000",合併,每年,股東會,富邦綜合證券股份有限公司,安侯建業聯合會計師事務所,HsinjingHolding,service@hsinjing-holding.com.tw,www.hsinjing-holding.com.tw
4102,永日化學工業股份有限公司,永日,生技醫療業,台中市大甲區日南里幼獅路59、61號,李其澧,67/06/08,90/03/20,新台幣                 10.0000元,"423,734,430","42,373,443",合併,每年,股東會,元大證券股份有限公司,資誠聯合會計師事務所,YUNGZIP,yspgyzc@yungshingroup.com,http://www.yungzip.com
4105,台灣東洋藥品工業股份有限公司,東洋,生技醫療業,台北市南港區園區街3-1號3樓,林全,49/07/22,90/09/27,新台幣                 10.0000元,"2,486,499,590","248,649,959",合併,每年,董事會,群益金鼎證券股份有限公司,安侯建業聯合會計師事務所,TTY,ir@tty.com.tw,www.tty.com.tw
4107,邦特生物科技股份有限公司,邦特,生技醫療業,台北市104中山區長安東路一段23號5樓之6,李明忠,80/11/13,91/03/04,新台幣                 10.0000元,"692,983,360","69,298,336",合併,每年,董事會,統一綜合證券股份有限公司,安侯建業聯合會計師事務所,BIOTEQUE,finance@bioteq.com.tw,www.bioteq.com.tw
4109,加捷生醫股份有限公司,加捷生醫,生技醫療業,高雄市三民區九如一路61號3樓,陳和順,84/05/06,91/08/08,新台幣                 10.0000元,"987,366,810","98,736,681",合併,每年,股東會,元大證券股份有限公司,資誠聯合會計師事務所,Jia Jie Bio,angelin@jiajiebio.com,https://www.jiajiebio.com
4111,濟生醫藥生技股份有限公司,濟生,生技醫療業,新竹縣湖口鄉實踐路3號,蘇東茂,51/10/06,88/03/06,新台幣                 10.0000元,"569,829,850","56,982,985",合併,每年,股東會,元大證券股份有限公司,安永聯合會計師事務所,CHI  SHENG,stock@cscp.com.tw,www.cscp.com.tw/index.php
4113,聯上實業股份有限公司,聯上,建材營造,高雄市左營區富國路185號17樓之2,蘇永義,87/02/11,92/07/22,新台幣                 10.0000元,"2,111,381,370","211,138,137",個別,每年,股東會,元大證券股份有限公司,廣信益群聯合會計師事務所,WE&WIN,hsinchieh@vvvvv.com.tw,http://kh.vvvvv.com.tw
4114,健喬信元醫藥生技股份有限公司,健喬,生技醫療業,台北市內湖區內湖路1段396號11樓,林智暉,59/08/25,92/05/12,新台幣                 10.0000元,"3,958,958,970","395,895,897",合併,每年,董事會,元大證券股份有限公司,勤業眾信聯合會計師事務所,SYNMOSA,syn.acc@synmosa.com.tw,http://www.synmosa.com.tw
4116,明基三豐醫療器材股份有限公司,明基醫,生技醫療業,台北市內湖區洲子街46號7樓,陳其宏,78/03/21,104/12/16,新台幣                 10.0000元,"445,660,000","44,566,000",合併,每年,董事會,中國信託商業銀行股份有限公司,安侯建業聯合會計師事務所,BMTC,Stella.Wu@BenQMedicalTech.com,www.BenQMedicalTech.com
4120,友華生技醫藥股份有限公司,友華,生技醫療業,台北市北投區承德路六段 128 號 13 樓,蔡正弘,71/06/16,92/11/05,新台幣                 10.0000元,"867,471,190","86,747,119",合併,每年,股東會,康和綜合證券股份有限公司,勤業眾信聯合會計師事務所,OEP,pr@mail.oep.com.tw,www.oep.com.tw
4121,優盛醫學科技股份有限公司,優盛,生技醫療業,北市內湖區港墘路189號12樓,劉志平,77/11/02,92/07/25,新台幣                 10.0000元,"849,291,450","84,929,145",合併,每年,股東會,元大證券股份有限公司股務代理部,安侯建業聯合會計師事務所,ROSSMAX,public@rossmax.com,www.rossmax.com
4123,晟德大藥廠股份有限公司,晟德,生技醫療業,台北市南港區園區街3之2號7樓,王素琦,48/11/04,92/10/07,新台幣                 10.0000元,"6,914,394,460","691,439,446",合併,每年,股東會,群益金鼎證券股務代理部,富鋒聯合會計師事務所,Center Lab.,yvonne@centerlab.com.tw,www.centerlab.com.tw
4126,太平洋醫材股份有限公司,太醫,生技醫療業,新竹科學園區苗栗縣銅鑼鄉九湖村銅科二路8號,鍾安婷,66/08/06,93/02/09,新台幣                 10.0000元,"726,000,000","72,600,000",合併,每年,股東會,福邦證券股份有限公司,勤業眾信聯合會計師事務所,PAHSCO,tinawang@pahsco.com.tw,http://www.pahsco.com.tw
4127,天良生物科技企業股份有限公司,天良,生技醫療業,新北市汐止區大同路一段147號9樓,沈錫聰,60/04/22,94/07/29,新台幣                 10.0000元,"457,600,000","45,760,000",個別,每年,股東會,台新證券股務代理部,正風聯合會計師事務所,TLB,cfo.tlb@tlb.com.tw,www.tlb.com.tw
4128,中天生物科技股份有限公司,中天,生技醫療業,台北市南港區園區街3號14樓之1,陳振文,89/05/03,95/06/09,新台幣                 10.0000元,"5,601,624,740","560,162,474",合併,每年,董事會,兆豐證券股份有限公司,勤業眾信聯合會計師事務所,MICROBIO,micro@microbio.com.tw,http://twmicrobio.com/
4129,聯合骨科器材股份有限公司,聯合,生技醫療業,新竹市科學工業園區園區二路57號,林延生,82/03/05,93/09/29,新台幣                 10.0000元,"964,867,400","96,257,101",合併,每年,董事會,富邦綜合證券股份有限公司,安永聯合會計師事務所,UOC,ivy.pan@unitedorthopedic.com,https://tw.unitedorthopedic.com/
4130,健亞生物科技股份有限公司,健亞,生技醫療業,新竹縣湖口鄉新竹工業區工業一路一號,陳正,82/03/24,101/01/12,新台幣                 10.0000元,"1,093,758,510","109,375,851",合併,每年,董事會,群益金鼎證券股份有限公司,資誠聯合會計師事務所,GBL,finance@genovate-bio.com,www.genovate-bio.com
4131,浩泰精準股份有限公司,浩泰,生技醫療業,台南市東區龍山里林森路一段395號9樓之8,周鼎茂,87/10/22,93/04/09,新台幣                 10.0000元,"395,000,000","39,500,000",合併,每年,股東會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,NeoCore,stephen.chen@neocore.com.tw,www.neocore.com.tw
4138,曜亞國際股份有限公司,曜亞,生技醫療業,新北市中和區中正路880號14樓,傅輝東,92/10/09,99/12/29,新台幣                 10.0000元,"330,000,000","33,000,000",合併,每年,董事會,統一綜合證券(股)公司,安侯建業聯合會計師事務所,DMT,D610@dmttw.com,http://www.dmttw.com.tw/
4139,馬光保健控股股份有限公司,馬光-KY,生技醫療業,"PO Box 61,3rd Floor Harbour Centre,North Church Street,Grand",黃博聞,98/07/14,100/04/29,新台幣                 10.0000元,"425,499,110","42,549,911",合併,每年,股東會,富邦綜合證券(股)公司,安永聯合會計師事務所,KY M.K.,kymk041@gmail.com,https://mk-healthcare.com/
4147,中裕新藥股份有限公司,中裕,生技醫療業,台北市內湖區瑞光路607號3樓,張念原,96/09/05,104/11/23,新台幣                 10.0000元,"2,730,785,250","273,078,525",合併,每年,股東會,元富證券股份有限公司,勤業眾信聯合會計師事務所,TMB,jackchen@taimedbiologics.com,http://www.tmb.com.tw
4153,鈺緯科技開發股份有限公司,鈺緯,生技醫療業,新北市中和區中山路2段351號9樓,黃漢州,84/04/11,102/05/23,新台幣                 10.0000元,"600,905,910","60,090,591",合併,每年,董事會,富邦綜合證券股份有限公司,勤業眾信聯合會計師事務所,DIVA Labs.,spokesman1@diva.com.tw,http://www.diva.com.tw/
4154,樂威科股份有限公司,樂威科-KY,其他,"P.O. Box 31119 Grand Pavilion,Hibiscus Way,802 West Bay Road",傅俊超,99/08/09,100/12/28,新台幣                 10.0000元,"357,200,000","35,720,000",合併,每年,股東會,國票綜合證券(股)公司股務代理部,建昇財稅聯合會計師事務所,Raku-KY,enquiry@raku-tec.com.tw,https://www.raku-tec.com.tw/
4157,太景醫藥研發控股股份有限公司,太景*-KY,生技醫療業,中華民國台灣台北市內湖區新明路138號7樓,黃國龍,94/09/15,103/01/17,美元                  0.0010元,"20,941,907","717,844,175",合併,每年,股東會,永豐金證券股份有限公司,勤業眾信聯合會計師事務所,TAIGEN,ir@taigenbiotech.com,http://www.taigenbiotech.com/
4160,訊聯基因數位股份有限公司,訊聯基因,生技醫療業,台北市內湖區新湖一路36巷28號6樓,張漢東,97/11/21,101/09/17,新台幣                 10.0000元,"254,049,250","25,404,925",合併,每年,股東會,中國信託商業銀行(股)公司代理部,資誠聯合會計師事務所,GGA Corp.,GGA@GGA.Asia,www.GGA.Asia
4161,聿新生物科技股份有限公司,聿新科,生技醫療業,350苗栗縣竹南鎮公館里中華南路188號,楊金昌,88/06/01,102/06/26,新台幣                 10.0000元,"529,808,890","52,980,889",合併,每年,董事會,群益金鼎證券股份有限公司,資誠聯合會計師事務所,BIOPTIK,chiao@bioptik.com.tw,http://www.bioptik.com.tw/
4162,智擎生技製藥股份有限公司,智擎,生技醫療業,台北市民生東路3段10號11樓,許璋瑤,91/08/12,101/09/18,新台幣                 10.0000元,"1,456,782,400","145,678,240",個別,每年,股東會,元大證券股份有限公司,資誠聯合會計師事務所,PEI,info@pharmaengine.com,https://www.pharmaengine.com/
4163,鐿鈦科技股份有限公司,鐿鈦,生技醫療業,台中市南屯區文山里精科路9號,鍾兆塤,93/10/21,101/11/15,新台幣                 10.0000元,"497,801,430","49,780,143",合併,每年,股東會,台新證券股務代理部,勤業眾信聯合會計師事務所,INTAI,sp@mail.intai.com.tw,www.intai.com.tw
